SUBJECT	MON	YEAR	PAGE	LOCATION	TYPE	MEMO
South Brisbane Vulture St BC	1	1881	2		applies to join Baptist Association	
Spurgeon, Thomas	1	1881	2		report of visit to Queensland	
Warwick	1	1881	2		decide not to establish church	
Baptist Association of Qld	1	1881	14		statistics of churches	
Petrie Terrace BC	1	1881	14		14th anniversary services	
Slade, Rev. G.	1	1881	14		visiting Queensland to preach at	Ipswich and Rockhampton - from Victoria
Straughen, Rev. J.	1	1881	14		leaves Ipswich for England end January	
City missionary	2	1881	31		plans to employ a City Missionary in	Brisbane
Slade, Rev. George	2	1881	31		arrived from Melbourne - preaching at	Rockhampton for 1 month
Straughen, Rev. J.	2	1881	31		farewell services at Ipswich	
S., Marie	3	1881	34	Wharf St	obit by H. Coombs	referred to only as Marie S.
Downing, Rev. J.	3	1881	45		2nd anniversary at Fortesque St	
Slade, Rev. G.	3	1881	45		visiting Ipswich - preaching for month	
Toowoomba	3	1881	45		meeting on union of Herries St and	Ruthven St (J. MacPherson) churches
Toowoomba	4	1881	51		new church in Herries St Rev. T. Robey	
Wharf St BC	4	1881	51		building extensions planned	
Davies, Rev. T.L.	4	1881	56		reported baptising at Thames, NZ	
Wharf St BC	5	1881	66		progress on building extensions	
Sneyd, Rev. J.B.	5	1881	72		reported moving from Georgetown to	Terowie South Australia
Evangelists	6	1881	81		Messrs Harrison and Isaac of Spurgeons	to be invited to Brisbane by Rev. J. Downing
MacPherson, Mr J.	6	1881	82		agreed to be City Missionary - leaving	Toowoomba
Rockhampton BC	6	1881	82		church in North Rockhampton now under	Baptist control - 3rd anniversary
Slade, Rev. G.	6	1881	82		accepts call to Rockhampton	
Toowong BC	6	1881	82		meeting to establish Sunday School and	services
German Baptists	6	1881	83		article describing history and current	situation of German Baptist churches
Missions in Queensland	7	1881	97		lead article, What are we doing for	Queensland?
Rockhampton BC	7	1881	98		Rev. G. Slade inducted May at Denison	St and Rev. T.W. I'Erson at North Rockhampton
Toowoomba BC	7	1881	98		Rev. Robie resigns - July 21	
Buzacott, Mr. W.H.	8	1881	114	Rockhampton	obit	
Buzacott, W.H.	8	1881	114	Maryborough	Obit	founder of church
Rockhampton BC	8	1881	114		19th anniversary and welcome to Rev.	G. Slade from Geelong - Welsh language services
Carr, Mr R. (Kerr)	8	1881	120		agreed to pay his fees as student at the	Divinity (Presbyterian) Hall
Adams, Mr A.T.	9	1881	130	Jireh	obit	
Jireh BC	9	1881	130		Messrs Harrison and Isaac mission	
M'Intyre, Christina	9	1881	130	Jireh	obit	
Toowong	9	1881	130		building to be opened 4 Sept	
Maryborough	9	1881	133		need for church in Maryborough - earlier	one under Rev. Godson (80+ years) failed
Toowong BC	10	1881	146		report of opening - Mr Isaac Spurgeons	as preacher - review of history by W. Richer
Jireh BC	10	1881	149		report of evangelistic Services	
Evangelistic services	11	1881	162		report of Isaac and Harrison mission	
Morris, Sister Annie	11	1881	162	South Brisbane	obit	
Toowong BC	11	1881	162		church formed with 11 members	
Maryborough	12	1881	178		hope of reestablishing Baptist church	Prim Methodist church hired - W. Poole preaching
Rosewood Scrub and Fernvale	12	1881	178		report of Rev. H. Windolf's ministry	
Wharf St BC	12	1881	178		re-opening services held 30 Oct	
Zillman's Waterhole	12	1881	178		English speaking Baptist church formed	10 th anniversary of opening of chapel (German)
Fortesque St BC	1	1882	2		Anniversary of church building - opened	1876 - church founded 1865
Baptist Association of Qld	1	1882	3		Rev. W. Poole president - address	Our future work
Statistics	1	1882	5		annual statistics of churches	
City Missionary	1	1882	6		report of activities of Mr J. MacPherson	including at South Brisbane Vulture St - also p 2
Queensland Freeman	3	1882	8		now a Queensland paper not Victorian	
Baptist City Mission	3	1882	13		report	
Downing, Rev. J.	3	1882	13		to leave Fortesque St BC for New Zealand	to work with Rev. T. Spurgeon
Jireh BC	3	1882	13		Temperance Assoc. - sermon on attempted	assasination of Queen Victoria by J. Kingsford
Moore, Rev. W.	3	1882	13		visit to England	
Padley, Rev. C.	3	1882	13		arrived from Spurgeons College as	minister at Ipswich 19 Feb
Downing, Rev. J.	4	1882	3		departure from Fortesque St - his first	pastorate and the first pastor of the church
City Mission	4	1882	4		report on support for Town and Country	Mission
McLeod, Mr James	4	1882	4		baptised at Fortesque St after 50 years	as a Presbyterian - testimony
Ministers wanted	4	1882	8		editorial	
Downing, Rev. J.	4	1882	13		farewell at Fortesque St	
Padley, Rev. C.	4	1882	13		welcomed at Ipswich	
Laymen wanted	5	1882	9		editorial	
Downing, Rev. J.	5	1882	13		report of final services	
Fernvale BC	5	1882	13		report of Love Feasts - Rev H. Windolf	and revivals
Jireh BC	5	1882	13		John Low commended as preacher	
Census	7	1882	7		results of 1881 census and earlier figs	
Kerr, Mr R.	7	1882	13		fees for study at Divinity Hall to be	paid again
Kruger, C.	7	1882	13		deacon at Engelsburg Fassifern	appealing for funds for new church
Bolton, Mr Joseph Samuel	7	1882	14	Jireh	obit	elder
Harris, Mrs	7	1882	14	Jireh (Eagle Farm)	obit	
Higlett, Rev. W.	7	1882	14		to come to Toowoomba from Spurgeons	
Slade, Rev. George	7	1882	14		commenced at Rockhampton	
Baptist City Mission	8	1882	13		report	
Higlett, Rev. W	8	1882	13		welcomed at Toowoomba	
Zillman's Waterholes	8	1882	13		New Baptist church subverted by Mr S.	Cheek Church of Christ evangelist
Brisbane Sunday School Union	9	1882	3		report	
Cheek, Mr S.	9	1882	3		replies to charges of subverting Baptist	church at Zillman's Waterholes & Baptism doctine
Maryborough BC	9	1882	14		report of church work and Rev. Godson	Baptist house of prayer in John Lane
Ward, David	9	1882	14	Gowrie Creek	obit	
YMCA	10	1882	8		editorial on efforts to establish branch	
Greenwood, James	11	1882	4	Sydney	obit	formerly minister of Bathurst St - suicide
Chapman, Rev. S.	11	1882	11		lecture during visit to Brisbane	see also p. 3
Brisbane City Mission	11	1882	12		report	
Engelsburg Kalbar Fassifern BC	11	1882	12		church building opened 7 Oct - W. Peters	pastor. H. Windolf preacher
Illidge, Mrs Thomas	11	1882	12	Wharf St BC	obit	
Leckie, Mrs	11	1882	12	Wharf St	obit	
Leckie, Mrs	11	1882	12	Wharf St BC	obit	
Lloyd, Mrs	11	1882	12	Wharf St	obit	
Lloyd, Mrs	11	1882	12	Wharf St BC	obit	34 yrs in Brisbane 20+ yrs member
Padley, Rev. C.	11	1882	12		begins 3 month supply at Fortesque St	formerly of Ipswich
Moore, Rev. W.	11	1882	13		welcomed home after England trip	see also page 3
Greenwood, James	12	1882	3		response to comments	
YMCA	12	1882	4		branch formed in Brisbane	
Baptist Association of Qld	12	1882	9		annual report	
Moore, Rev. W.	12	1882	10		presidential address - he was one of	original 12 to form Baptist church in Brisbane
Brisbane City Mission	12	1882	12		annual report by J. MacPherson	
Statistics	12	1882	12		annual statistics of Baptist Association	
Evangelical Alliance	1	1883	3		united prayer meetings	
Albion BC	1	1883	10		foundation stone of chapel laid 1 Jan	
Home Mission	2	1883	3		decision to form Home Mission	
Cheek, Mr S.	3	1883	3		obit	
Kerr, Mr R.	3	1883	11		reported to be studying at Grammar	School
Padley, Rev. C.	4	1883	3		accepts call to Fortesque St BC	
Home Mission	4	1883	8		draft constitution	
Kerr, R.	4	1883	10		left Divinity Hall due to poor teaching	
South Brisbane Vulture St BC	4	1883	10		church extended	
Windsor Rd BC	4	1883	11		site purchased for future use	
Kerr, R.	5	1883	11		report on his studies	
Higlett-Emptage	5	1883	12		marriage of Rev. W. Higlett to Miss	Alice Emptage
Brisbane Sunday School Union	6	1883	3		annual gathering	
Baptist Burial Ground	6	1883	10		need for care	
Humpy Bong	6	1883	10		church opened 13 May by Rev. W. Moore	
Clinch, Rev. B.W.	8	1883	3		arrived from Spurgeon's College	
Cray, H.C.	8	1883	11	Wharf St	testimonial on retiring as Sec	
Cray, Mr H.	8	1883	11		testimonial as secretary of Wharf St	Baptist Church and secretary Baptist Association
Clinch, Rev. B.W.	9	1883	12		serving under Home Mission at	Maryborough - see also page 3
Gerrard, Rev. T.	9	1883	12	Ipswich	obit	
Buzacott, Mr G.H.	10	1883	4		narrative of trip covering churches in	north with history and state of churches
Downing, Rev. J.	10	1883	10		inducted pastor at Williamstown Vic	on 16 Sept
Young, Rev W.V.	11	1883	3		from Tring since 1870 sailing to Ipswich	
Clinch, Rev. B.W.	11	1883	4		preaches at Baptist Association - refers	to experiences at Cape Colony
Hooker, Mr E.	11	1883	6		presidential address	
Church, Mr Thomas	11	1883	11	Wharf St BC	obit	
Voller, Rev James	11	1883	11		baptises convert at Wharf St BC	
Statistics	11	1883	14		Baptist Association annual statistics	
Church, Mr Thomas	12	1883	4		obit	memorial account
Drought	1	1884	4		lessons taught by the drought by	Rev. H. Coombs
Noble, Mrs John	1	1884	11	South Brisbane Vulture St	obit	
Downing, Rev. J.	1	1884	12		report of foundation stone laying at	Williamstown church, Victoria
Young, Rev W.V.	2	1884	4		How I came to Brisbane - arrived Dec 22	
Ipswich BC	2	1884	10		welcome to Rev. W.V. Young -	
Angels and redemption	3	1884	3		article by Rev. W.V. Young	
Clinch, Rev. B.W.	3	1884	8		left Baptist church Maryborough and	re-joined Church of England
Oncken, Rev. J.G.	3	1884	12	Germany	obit	
Cavanagh, Mr	4	1884	3		evangelist now in Brisbane for preaching	has worked in Liverpool page 11
Maryborough BC	4	1884	3		services continue after departure of	Rev. B.W. Clinch - correspondence reported page 11
Stewart, Rev. J.	4	1884	3		investigation of complaints re his work	with Town and Country Mission and hospital
North Rockhampton	4	1884	11		branch church formed with	Rev. T.W. I'Erson
Clinch, Rev. B.W.	5	1884	3		further correspondence and notices about	his resignation and change to Church of England
MacPherson, Rev. J.	5	1884	3		preaching at Rosewood and Marburg	
Padley, Rev. C.	5	1884	3		resigns from Fortesque St - ill health	
Unity	5	1884	6		article on unity in Christian work	
Federation of Australian Baptists	5	1884	8		editorial	
Evans, Rev. W.	5	1884	10		visit to Brisbane delayed - to preach	in Brisbane before going to Maryborough
Downing, Rev. J.	6	1884	3		report of services in Victoria	also Rev. F. Buckingham present
Statistics	6	1884	3		Baptist statistics for Australia	
MacPherson, Rev. J.	6	1884	6		report of visit of Rosewood	
Baptism	6	1884	8		report of discovery of manuscript of	the Didache and its teaching on Baptism
Unity	6	1884	11		response to article on union in	Christian work by W. Higlett
Evans, Rev. W.	6	1884	12		further report on travel plans and visit	
Glover, Rev J.	6	1884	12		discussion about migrating from Devon	to Queensland fellow student of W.V. Young
Maryborough BC	6	1884	12		report of activity after Rev B.W. Clinch	assisted by Mr Cairns
Daniels, Mr Joseph Snr	6	1884	13	Wharf St BC	obit	formerly of Bunyan's Old Meeting at Bedford
Toowong BC	6	1884	13		extra land purchased - corner lot	
Cavanagh, Mr	7	1884	3		preaching ministry - at Jireh to assist	pastor for year
Clinch, Rev. B.W.	7	1884	3		letter from C.H. Spurgeon about Clinch's	move to Church of England
Commbs, Rev. H.	7	1884	3		Our churches and their mission	
Buzacott, Mr G.H.	7	1884	9		Our churches and their mission	address to Baptist Association
MacIntyre, Mr	7	1884	13	South Brisbane	obit	
Reedman, Mr John	7	1884	14	Wharf St BC	obit	
Coombs, Rev. H.	8	1884	3		resigns from Wharf St to transfer to	Aberdeen St Geelong - health
Baptism	8	1884	9		article by Rev. Silas Mead, SA on	Churches of Christ view of baptism
Mission	8	1884	9		Our churches and their mission	
Evans, Rev. W.	8	1884	12		Discontinued discussions about visit	to Queensland
Cavanagh, Mr	8	1884	13		preaching at Wharf St BC	
Rosalie	8	1884	13		expansion to this area from Petrie Terr	and page 3
Rosewood and Marburg BC	9	1884	3		need for Bush Missionary -	Rev J. MacPherson to preach there again
Home Mission	10	1884	9		Questions for applicants	
MacPherson, Rev. J.	10	1884	10		sent to Maryborough on interim basis	
Rosalie - Oxford Estate	10	1884	11		church building opened - details of	rapid growth of the area
Sandgate BC	10	1884	11		Mrs Board resigns from Sunday School	Rev. J. Voller apology and sends greeting
Toowong BC	10	1884	11		building extensions	
Glover, Rev. John	12	1884	3		leaves Coombe Martin Devon Nov for	Brisbane
Kerr, Mr R.	12	1884	3		funds for studies reimbursed	
Maryborough BC	12	1884	3		report of progress - Rev. J. MacPherson	
Slade, Rev. G.	12	1884	3		resigns from Rockhampton - to Victoria	misunderstanding with some members
Tucker, Rev. Edwin	12	1884	3		accepts call to Rockhampton from Hobart	1 year and Great Yarmouth - commenced Dec
White, Rev W.	12	1884	3		interim minister at Maryborough	from York St BC Launceston - elderley
Bulimba BC	12	1884	6		report on preaching station est. 1856	earliest outstation
Nundah	12	1884	6		work to begin	
Thompson Estate	12	1884	6		land acquired for outstation	
Grimes, Mr George	12	1884	11		Presidential address	
Statistics	12	1884	12		Annual Statistics of Baptist Assoc	
Baptism	12	1884	13		article on Baptism for the remission	of sins
Slade, Rev. G.	12	1884	14		farewell services from Rockhampton	
Maryborough BC	12	1884	15		welcome to Rev. White, farewell Rev J.	MacPherson, raising funds for building
Statistics	1	1885	3		Australian Baptist statistics from	Truth and Progress
Town and Country Mission	1	1885	3		annual meeting	
Glover, Rev. J.	2	1885	3		accepts call to Fortesque St from 13 Mar	interim at Wharf St - arrived 14 Jan
Tucker, Rev. E.	2	1885	3		accepts call to Rockhampton	
Mission - foreign	3	1885	3		letter from South Australia and visit	by Ellen Arnold
White, Rev W.	3	1885	8		concludes interim at Maryborough returns	to Launceston - await decision on call
India - map	3	1885	9		map of Indian mission fields	
